P,S,A,O,V
0,0,0,0,98
0,0,0,0,89
0,0,0,0,96
0,0,0,0,60
0,0,0,0,62
80,0,0,0,23
19,0,0,0,22
34,0,0,0,14
30,0,0,0,24
43,0,0,0,26
0,266,0,0,63
0,369,0,0,62
0,202,0,0,45
0,165,0,0,58
0,164,0,0,65
0,0,85,0,19
0,0,43,0,13
0,0,53,0,7
0,0,90,0,22
0,0,78,0,11
0,0,0,34,46
0,0,0,32,34
0,0,0,32,56
0,0,0,47,39
0,0,0,89,56
15,94,0,0,37
22,106,0,0,52
29,40,0,0,15
22,44,0,0,25
51,56,0,0,31
18,0,19,0,6
26,0,26,0,15
46,0,30,0,23
31,0,59,0,26
46,0,44,0,18
23,0,0,10,25
29,0,0,24,21
34,0,0,21,22
25,0,0,33,27
24,0,0,31,16
0,97,30,0,52
0,170,19,0,40
0,147,38,0,26
0,276,17,0,28
0,181,21,0,44
0,204,0,68,56
0,274,0,48,38
0,95,0,42,60
0,132,0,47,56
0,83,0,38,49
0,0,53,94,28
0,0,35,31,16
0,0,43,40,9
0,0,27,42,9
0,0,84,29,13
7,20,45,0,9
14,36,75,0,12
20,47,84,0,9
8,25,86,0,6
45,109,54,0,10
13,35,0,23,8
41,35,0,27,6
50,61,0,36,47
8,70,0,37,5
25,36,0,32,17
15,0,35,21,6
27,0,30,13,10
31,0,45,25,46
19,0,25,10,6
22,0,22,10,14
0,112,23,22,7
0,126,32,31,22
0,191,44,78,49
0,283,66,61,58
0,137,79,47,40
25,66,89,19,2
28,50,77,17,7
5,30,80,20,4
22,25,81,17,10
8,40,28,20,9
